0.0,0.0,1773865252.6637437
-0.0081,-0.1201,1773865259.6635737
-0.0377,-0.1274,1773865259.7635598
-0.0439,-0.1329,1773865259.863545
-0.0517,-0.1348,1773865259.9635634
-0.0705,-0.1403,1773865260.0635486
-0.0674,-0.1403,1773865260.163556
-0.1111,-0.166,1773865260.2635522
-0.1282,-0.1734,1773865260.3635652
-0.147,-0.1826,1773865260.4635596
-0.1891,-0.1954,1773865260.5635629
-0.1938,-0.1991,1773865260.663569
-0.2327,-0.2009,1773865260.7635572
-0.2561,-0.2027,1773865260.8635647
-0.2982,-0.197,1773865260.9635558
-0.3138,-0.2007,1773865261.0635545
-0.3575,-0.1969,1773865261.1635563
-0.3808,-0.1895,1773865261.2635617
-0.3902,-0.1876,1773865261.3635607
-0.4447,-0.1801,1773865261.4635649
-0.4354,-0.1819,1773865261.5635624
-0.4931,-0.1929,1773865261.6635628
-0.4915,-0.1948,1773865261.7635505
-0.5305,-0.2002,1773865261.863561
-0.5446,-0.202,1773865261.963551
-0.5742,-0.202,1773865262.0637136
-0.5913,-0.2019,1773865262.1635668
-0.6303,-0.2,1773865262.2635608
-0.6646,-0.2036,1773865262.3635576
-0.6958,-0.2054,1773865262.4635482
-0.7254,-0.209,1773865262.56355
-0.7238,-0.1831,1773865262.6636596
-0.7066,-0.1795,1773865262.763562
-0.6551,-0.1537,1773865262.863556
-0.6801,-0.1851,1773865262.9635656
-0.6894,-0.1574,1773865263.0635664
-0.6878,-0.1278,1773865263.1635504
-0.6847,-0.1167,1773865263.263577
-0.6877,-0.089,1773865263.3635545
-0.6955,-0.0797,1773865263.4635608
-0.7017,-0.0705,1773865263.5635653
-0.7111,-0.0723,1773865263.6635666
-0.7251,-0.0686,1773865263.763557
-0.7392,-0.0833,1773865263.8635573
-0.7532,-0.0833,1773865263.9635513
-0.7454,-0.0907,1773865264.0635486
-0.7298,-0.0834,1773865264.163555
-0.7298,-0.0797,1773865264.2635548
-0.7282,-0.0741,1773865264.3635564
-0.7314,-0.0834,1773865264.463563
-0.7392,-0.0833,1773865264.563565
-0.747,-0.0833,1773865264.6635876
-0.747,-0.0852,1773865264.7635522
-0.7843,-0.0685,1773865264.8635538
-0.8264,-0.0536,1773865264.9635541
-0.8887,-0.0313,1773865265.0635927
-0.8856,-0.0313,1773865265.1635563
-0.9385,0.0243,1773865265.2635512
-1.0177,0.1482,1773865265.36355
-1.0364,0.1575,1773865265.463559
-1.0503,0.2093,1773865265.5635555
-1.166,0.0562,1773865265.6635685
-1.2315,0.0748,1773865265.7635574
-1.3016,0.0897,1773865265.8635592
-1.3514,0.1028,1773865265.9635472
-1.4029,0.1158,1773865266.0635555
-1.4496,0.1381,1773865266.163546
-1.4916,0.1659,1773865266.2635603
-1.476,0.177,1773865266.3635476
-1.4775,0.1973,1773865266.4635546
-1.3311,0.1194,1773865266.563552
-1.2599,-0.0803,1773865266.6635704
-1.1022,0.0006,1773865266.763544
-1.132,-0.0751,1773865266.8635528
-1.2924,0.0324,1773865267.1635413
-1.8021,0.0779,1773865267.2635498
-1.8426,0.0817,1773865267.363544
-1.9424,0.0875,1773865267.4635484
-2.0639,0.1062,1773865267.563552
-2.159,0.1138,1773865267.6635656
-2.2323,0.1011,1773865267.7635503
-2.2839,0.0439,1773865267.8635578
-2.3276,0.0107,1773865267.963564
-2.3698,-0.0206,1773865268.0635865
-2.4088,-0.0501,1773865268.163557
-2.4462,-0.0611,1773865268.2635574
-2.4883,-0.0628,1773865268.3635561
-2.5304,-0.0627,1773865268.4635594
-2.5647,-0.0626,1773865268.5635543
-2.5975,-0.0663,1773865268.6635997
-2.6272,-0.0902,1773865268.7635553
-2.6442,-0.0347,1773865268.863544
-2.638,-0.0421,1773865268.963554
-2.652,-0.0458,1773865269.0635448
-2.6598,-0.0476,1773865269.1635585
-2.6863,-0.0513,1773865269.2635517
-2.6754,-0.0513,1773865269.363549
-2.7159,-0.0512,1773865269.4635594
-2.7097,-0.0494,1773865269.5635493
-2.7253,-0.0475,1773865269.6635933
-2.7206,-0.0457,1773865269.763563
-2.7393,-0.0456,1773865269.8635502
-2.7611,-0.0437,1773865269.963545
-2.8048,-0.0473,1773865270.0635464
-2.8297,-0.0436,1773865270.1635494
-2.8406,-0.0454,1773865270.2635622
-2.8625,-0.0453,1773865270.3635514
-2.8703,-0.0453,1773865270.4635546
-2.8874,-0.0434,1773865270.5635588
-2.8983,-0.0416,1773865270.66359
-2.9186,-0.0323,1773865270.7635572
-2.9388,-0.0248,1773865270.86356
-2.9669,-0.0155,1773865270.9635558
